Nama,Masuk,Keluar,Duration,Coba
GetByEmailJSON,14:40:24,14:40:24,11.884,29
GetByEmailJSON,14:40:25,14:40:26,11.660,30
GetByEmailPostgreSQL,15:02:59,15:02:59,7.413,1
GetByEmailPostgreSQL,15:03:00,15:03:00,14.429,2
GetByEmailPostgreSQL,15:03:02,15:03:02,6.799,3
GetByEmailPostgreSQL,15:03:04,15:03:04,6.798,4
GetByEmailPostgreSQL,15:03:05,15:03:05,7.152,5
GetByEmailPostgreSQL,15:03:07,15:03:07,7.295,6
GetByEmailPostgreSQL,15:03:09,15:03:09,8.083,7
GetByEmailPostgreSQL,15:03:10,15:03:10,7.776,8
GetByEmailPostgreSQL,15:03:11,15:03:11,8.433,9
GetByEmailPostgreSQL,15:03:13,15:03:13,9.428,10
GetByEmailPostgreSQL,15:03:14,15:03:14,8.344,11
GetByEmailPostgreSQL,15:03:15,15:03:15,6.875,12
GetByEmailPostgreSQL,15:03:16,15:03:16,9.536,13
GetByEmailPostgreSQL,15:03:17,15:03:17,12.523,14
GetByEmailPostgreSQL,15:03:19,15:03:19,6.384,15
GetByEmailPostgreSQL,15:03:20,15:03:20,10.585,16
GetByEmailPostgreSQL,15:03:21,15:03:21,7.035,17
GetByEmailPostgreSQL,15:03:22,15:03:22,6.056,18
GetByEmailPostgreSQL,15:03:23,15:03:23,6.102,19
GetByEmailPostgreSQL,15:03:25,15:03:25,9.750,20
GetByEmailPostgreSQL,15:03:26,15:03:26,6.187,21
GetByEmailPostgreSQL,15:03:27,15:03:27,7.190,22
GetByEmailPostgreSQL,15:03:28,15:03:28,6.506,23
GetByEmailPostgreSQL,15:03:30,15:03:30,6.200,24
GetByEmailPostgreSQL,15:03:31,15:03:31,6.891,25
GetByEmailPostgreSQL,15:03:32,15:03:32,6.676,26
GetByEmailPostgreSQL,15:03:33,15:03:33,6.972,27
GetByEmailPostgreSQL,15:03:35,15:03:35,10.779,28
GetByEmailPostgreSQL,15:03:36,15:03:36,6.014,29
GetByEmailPostgreSQL,15:03:38,15:03:38,6.829,30
GetByGenderJSON,14:57:39,14:57:39,18.148,1
GetByGenderJSON,14:57:40,14:57:40,12.665,2
GetByGenderJSON,14:57:41,14:57:41,11.000,3
GetByGenderJSON,14:57:42,14:57:42,10.737,4
GetByGenderJSON,14:57:43,14:57:43,12.479,5
GetByGenderJSON,14:57:44,14:57:44,13.544,6
GetByGenderJSON,14:57:45,14:57:45,10.236,7
GetByGenderJSON,14:57:46,14:57:46,14.816,8
GetByGenderJSON,14:57:47,14:57:47,11.266,9
GetByGenderJSON,14:57:48,14:57:48,12.387,10
GetByGenderJSON,14:57:49,14:57:49,8.773,11
GetByGenderJSON,14:57:50,14:57:50,13.108,12
GetByGenderJSON,14:57:51,14:57:51,11.071,13
GetByGenderJSON,14:57:52,14:57:52,8.755,14
GetByGenderJSON,14:57:53,14:57:53,12.040,15
GetByGenderJSON,14:57:56,14:57:56,8.540,16
GetByGenderJSON,14:57:57,14:57:57,13.298,17
GetByGenderJSON,14:57:58,14:57:58,12.167,18
GetByGenderJSON,14:57:59,14:57:59,11.825,19
GetByGenderJSON,14:58:00,14:58:00,10.903,20
GetByGenderJSON,14:58:01,14:58:01,20.187,21
GetByGenderJSON,14:58:02,14:58:02,12.522,22
GetByGenderJSON,14:58:03,14:58:03,11.249,23
GetByGenderJSON,14:58:04,14:58:04,11.539,24
GetByGenderJSON,14:58:05,14:58:05,11.672,25
GetByGenderJSON,14:58:06,14:58:06,15.247,26
GetByGenderJSON,14:58:07,14:58:07,12.721,27
GetByGenderJSON,14:58:08,14:58:08,11.878,28
GetByGenderJSON,14:58:09,14:58:09,13.093,29
GetByGenderJSON,14:58:11,14:58:11,8.679,30
GetByGenderPostgreSQL,15:04:31,15:04:31,4.784,1
GetByGenderPostgreSQL,15:04:32,15:04:32,5.184,2
GetByGenderPostgreSQL,15:04:33,15:04:33,2.997,3
GetByGenderPostgreSQL,15:04:34,15:04:34,3.364,4
GetByGenderPostgreSQL,15:04:34,15:04:34,2.582,5
GetByGenderPostgreSQL,15:04:35,15:04:35,3.415,6
GetByGenderPostgreSQL,15:04:36,15:04:36,2.685,7
GetByGenderPostgreSQL,15:04:37,15:04:37,4.179,8
GetByGenderPostgreSQL,15:04:38,15:04:38,3.250,9
GetByGenderPostgreSQL,15:04:39,15:04:39,4.264,10
GetByGenderPostgreSQL,15:04:40,15:04:40,4.251,11
GetByGenderPostgreSQL,15:04:41,15:04:41,3.129,12
GetByGenderPostgreSQL,15:04:42,15:04:42,4.555,13
GetByGenderPostgreSQL,15:04:43,15:04:43,2.927,14
GetByGenderPostgreSQL,15:04:44,15:04:44,3.357,15
GetByGenderPostgreSQL,15:17:18,15:17:18,3.535,16
GetByGenderPostgreSQL,15:17:20,15:17:20,4.257,17
GetByGenderPostgreSQL,15:17:22,15:17:22,3.303,18
GetByGenderPostgreSQL,15:17:24,15:17:24,4.013,19
GetByGenderPostgreSQL,15:17:27,15:17:27,3.220,20
GetByGenderPostgreSQL,15:17:29,15:17:29,4.985,21
GetByGenderPostgreSQL,15:17:31,15:17:31,2.843,22
GetByGenderPostgreSQL,15:17:32,15:17:32,3.441,23
GetByGenderPostgreSQL,15:17:34,15:17:34,4.405,24
GetByGenderPostgreSQL,15:17:35,15:17:35,2.682,25
GetByGenderPostgreSQL,15:17:37,15:17:37,3.906,26
GetByGenderPostgreSQL,15:17:38,15:17:38,3.290,27
GetByGenderPostgreSQL,15:17:40,15:17:40,2.982,28
GetByGenderPostgreSQL,15:17:42,15:17:42,3.538,29
GetByGenderPostgreSQL,15:17:44,15:17:44,3.165,30
GetByIDJSON,14:58:35,14:58:35,9.978,1
GetByIDJSON,14:58:40,14:58:40,8.659,2
GetByIDJSON,14:58:46,14:58:46,8.983,3
GetByIDJSON,14:58:51,14:58:51,10.437,4
GetByIDJSON,14:58:54,14:58:54,8.765,5
GetByIDJSON,14:59:01,14:59:01,8.502,6
GetByIDJSON,14:59:05,14:59:05,10.420,7
GetByIDJSON,14:59:08,14:59:08,10.568,8
GetByIDJSON,14:59:12,14:59:12,9.280,9
GetByIDJSON,14:59:16,14:59:16,10.578,10
GetByIDJSON,14:59:20,14:59:20,9.693,11
GetByIDJSON,14:59:25,14:59:25,9.285,12
GetByIDJSON,14:59:29,14:59:29,10.624,13
GetByIDJSON,14:59:42,14:59:42,10.155,14
GetByIDJSON,14:59:47,14:59:47,10.372,15
GetByIDJSON,14:59:57,14:59:57,9.741,16
GetByIDJSON,15:00:03,15:00:03,10.573,17
GetByIDJSON,15:00:07,15:00:07,10.304,18
GetByIDJSON,15:00:12,15:00:12,9.204,19
GetByIDJSON,15:00:15,15:00:15,9.367,20
GetByIDJSON,15:00:22,15:00:22,8.749,21
GetByIDJSON,15:00:27,15:00:27,9.238,22
GetByIDJSON,15:00:30,15:00:30,8.600,23
GetByIDJSON,15:00:34,15:00:34,8.629,24
GetByIDJSON,15:00:39,15:00:39,9.608,25
GetByIDJSON,15:00:42,15:00:42,8.737,26
GetByIDJSON,15:00:47,15:00:47,10.047,27
GetByIDJSON,15:00:51,15:00:51,10.365,28
GetByIDJSON,15:00:58,15:00:58,10.012,29
GetByIDJSON,15:01:03,15:01:03,8.169,30
GetByIDPostgreSQL,15:05:08,15:05:08,0.552,1
GetByIDPostgreSQL,15:05:12,15:05:12,0.612,2
GetByIDPostgreSQL,15:05:15,15:05:15,0.620,3
GetByIDPostgreSQL,15:05:21,15:05:21,0.509,4
GetByIDPostgreSQL,15:05:24,15:05:24,0.510,5
GetByIDPostgreSQL,15:05:27,15:05:27,0.506,6
GetByIDPostgreSQL,15:05:30,15:05:30,0.509,7
GetByIDPostgreSQL,15:05:34,15:05:34,0.511,8
GetByIDPostgreSQL,15:05:37,15:05:37,0.507,9
GetByIDPostgreSQL,15:05:40,15:05:40,0.509,10
GetByIDPostgreSQL,15:05:43,15:05:43,0.506,11
GetByIDPostgreSQL,15:05:46,15:05:46,0.995,12
GetByIDPostgreSQL,15:05:57,15:05:57,0.630,13
GetByIDPostgreSQL,15:06:02,15:06:02,0.506,14
GetByIDPostgreSQL,15:06:05,15:06:05,0.506,15
GetByIDPostgreSQL,15:06:09,15:06:09,0.506,16
GetByIDPostgreSQL,15:06:12,15:06:12,0.505,17
GetByIDPostgreSQL,15:06:16,15:06:16,0.543,18
GetByIDPostgreSQL,15:06:19,15:06:19,0.506,19
GetByIDPostgreSQL,15:06:23,15:06:23,0.508,20
GetByIDPostgreSQL,15:06:30,15:06:30,0.511,21
GetByIDPostgreSQL,15:06:33,15:06:33,0.505,22
GetByIDPostgreSQL,15:06:36,15:06:36,0.507,23
GetByIDPostgreSQL,15:06:38,15:06:38,0.507,24
GetByIDPostgreSQL,15:06:40,15:06:41,0.509,25
GetByIDPostgreSQL,15:06:44,15:06:44,0.631,26
GetByIDPostgreSQL,15:06:47,15:06:47,0.512,27
GetByIDPostgreSQL,15:06:51,15:06:51,0.507,28
GetByIDPostgreSQL,15:06:54,15:06:54,0.509,29
GetByIDPostgreSQL,15:06:58,15:06:58,0.055,30
GetByNameJSON,14:38:51,14:38:51,9.077,1
GetByNameJSON,14:38:52,14:38:52,10.113,2
GetByNameJSON,14:38:53,14:38:53,10.153,3
GetByNameJSON,14:38:55,14:38:55,9.501,4
GetByNameJSON,14:38:56,14:38:56,9.076,5
GetByNameJSON,14:38:57,14:38:57,8.877,6
GetByNameJSON,14:38:59,14:38:59,10.953,7
GetByNameJSON,14:39:00,14:39:00,8.920,8
GetByNameJSON,14:39:02,14:39:02,10.480,9
GetByNameJSON,14:39:03,14:39:03,9.298,10
GetByNameJSON,14:39:04,14:39:04,8.704,11
GetByNameJSON,14:39:05,14:39:05,9.380,12
GetByNameJSON,14:39:07,14:39:07,8.502,13
GetByNameJSON,14:39:08,14:39:08,8.497,14
GetByNameJSON,14:39:09,14:39:09,8.782,15
GetByNameJSON,14:39:10,14:39:10,8.471,16
GetByNameJSON,14:39:12,14:39:12,9.823,17
GetByNameJSON,14:39:13,14:39:13,10.967,18
GetByNameJSON,14:39:14,14:39:14,8.497,19
GetByNameJSON,14:39:15,14:39:15,8.806,20
GetByNameJSON,14:39:17,14:39:17,8.715,21
GetByNameJSON,14:39:19,14:39:19,9.127,22
